name,phone,totalDebt,minimumAccept,status,persona
Diana Davenport,3750258791,292786.65,138494.18,PENDING,cooperative
Joshua Chase,8436959676,202309.45,63943.81,PENDING,cooperative
Caleb Austin,1008262269,237705.2,105914.18,PENDING,cooperative
Joseph Munoz,1554096053,84468.67,40713.3,PENDING,high_risk
Charles Whitaker,3450837590,156907.76,96455.15,PENDING,delayed
Manuel Sandoval,4691611084,139269.84,69731.97,PENDING,cooperative
Maria Dixon,2339065325,125599.01,58917.79,PENDING,cooperative
Miguel Ruiz,4853647645,203048.4,74179.48,PENDING,cooperative
Michael King,3665869952,259149.17,115035.49,PENDING,cooperative
Cynthia Salinas,0857819488,285965.45,145097.52,PENDING,cooperative
Brandon Davidson,1145392815,228722.24,131855.55,PENDING,cooperative
Todd Lewis,4775809289,133877.54,87974.0,PENDING,cooperative
Kristin Grimes,9091900585,51001.4,23751.25,PENDING,cooperative
Mackenzie Lawrence,7616790066,256452.09,110436.15,PENDING,delayed
Laurie Martinez DVM,4255742411,289178.36,159895.49,PENDING,cooperative
Lauren Lee,0907991515,26834.4,16755.87,PENDING,delayed
Robyn Keller MD,1857128290,167257.48,58672.21,PENDING,resistant
Helen Smith,7751706964,102379.12,33503.84,PENDING,resistant
Mark Jones,3335891964,120824.32,77621.3,PENDING,resistant
Catherine Edwards,6339201055,29538.36,19294.26,PENDING,resistant
Justin Moody,2640972638,59171.89,36768.97,PENDING,resistant
Sarah Romero,9204873591,14731.55,7634.98,PENDING,cooperative
Anna Love,9220508440,269833.99,158626.38,PENDING,resistant
Eric Jones,0971399016,18165.67,7432.63,PENDING,high_risk
Amanda Todd,1929731985,284368.74,97639.52,PENDING,high_risk
Matthew Bell,2523736623,211312.17,64809.32,PENDING,delayed
Karen Ford,9998531216,113446.33,46816.11,PENDING,cooperative
Ryan Nunez,5099672340,255325.73,106463.09,PENDING,cooperative
Victor Craig,5576262138,240463.3,159983.26,PENDING,cooperative
Sarah Espinoza,8796119619,277895.77,176911.9,PENDING,cooperative
Daniel Lee,1165577473,152186.02,105905.59,PENDING,resistant
Bryan Brown,5819208511,131634.66,74040.91,PENDING,delayed
Cody Franklin,3868127576,112638.76,47002.79,PENDING,cooperative
Stephen Crane,3920972593,172122.26,115891.45,PENDING,cooperative
Michael Clark,2919738535,77640.68,33519.42,PENDING,resistant
Ruth Morrow,2920722645,43753.95,16122.73,PENDING,delayed
David Martin,0855584605,12783.87,4889.55,PENDING,cooperative
Douglas Jackson,3303680720,281933.21,104774.63,PENDING,delayed
Stacey Castillo,6201587742,261087.48,120680.8,PENDING,cooperative
Shannon Mahoney,3310138166,278724.32,162874.2,PENDING,delayed
Danielle Taylor,4889480223,17629.63,10709.57,PENDING,delayed
Derrick Chen,6583567797,148799.24,75729.34,PENDING,cooperative
Steven Walker,8579420537,25143.81,11444.32,PENDING,delayed
Michelle Ferguson,1843548698,83874.7,34537.06,PENDING,cooperative
Lauren Gaines,2347793912,46530.35,20766.65,PENDING,delayed
Steve Walton,2272446596,238347.2,95848.55,PENDING,cooperative
Janice Francis,1087996200,266549.56,117376.83,PENDING,delayed
John Christensen,2664214249,106595.05,69056.46,PENDING,cooperative
Cindy Scott,9977522523,14496.91,7424.81,PENDING,cooperative
Jessica Gonzalez,1011866519,129478.65,61154.56,PENDING,cooperative
Mary Chandler,3732912123,297405.62,156161.49,PENDING,resistant
Lucas Shaw,9791389840,8808.05,3360.05,PENDING,cooperative
Kristina Baker,5483847692,253472.34,131223.21,PENDING,cooperative
Michael Payne,8745569300,69346.43,30832.94,PENDING,cooperative
Cynthia Lang,0591279870,263285.9,79721.21,PENDING,cooperative
Joshua Smith,8814107645,86799.87,27364.9,PENDING,delayed
Amanda Mata,6459992281,285365.26,124944.44,PENDING,cooperative
Kelly Johnson,6574345308,43370.95,29123.45,PENDING,cooperative
Anna Summers,3784255779,154789.85,76867.38,PENDING,cooperative
Jason Cole,1776249014,78234.97,37658.98,PENDING,cooperative
Nicholas Webb,9297457502,54374.47,17517.83,PENDING,resistant
Ryan Lloyd,4886849120,27286.16,16909.27,PENDING,cooperative
Sharon Cain,0381228295,10846.34,5151.88,PENDING,delayed
Ashley Wilson,1975247110,106041.94,33122.71,PENDING,cooperative
Amber Coffey,4322911061,24502.4,9852.36,PENDING,cooperative
Thomas Gould,3057620715,65197.11,31540.28,PENDING,delayed
Angel Abbott,5285637144,142792.94,95795.54,PENDING,delayed
Jason Keller,8281361096,39033.31,15568.1,PENDING,delayed
Linda Palmer,4219940117,280370.04,90158.21,PENDING,cooperative
Tanya Logan,9950866045,51094.26,21305.71,PENDING,delayed
Kevin Hill,5029868264,237702.03,80614.91,PENDING,delayed
Jeffrey Taylor,0006268805,251740.35,171261.02,PENDING,delayed
Robyn Fernandez,1189975106,187325.38,67326.26,PENDING,cooperative
Michael Vargas,0970184401,20646.63,6522.07,PENDING,cooperative
Thomas Hernandez,0109767616,91526.1,52409.81,PENDING,cooperative
Amanda Williams,7176920362,222581.56,113662.13,PENDING,cooperative
Edwin Coleman,8987226509,299078.42,102199.93,PENDING,delayed
Kari Mason,0001190001,58709.43,20295.1,PENDING,cooperative
Lisa Blevins,2492602029,125956.5,66847.89,PENDING,cooperative
Ryan Davila,5348938439,256778.74,124165.85,PENDING,resistant
Angela Brooks,3572858714,280788.84,180199.91,PENDING,cooperative
Christina Miller,4560707427,248928.93,133594.96,PENDING,cooperative
James Robinson,9744988562,143610.06,87129.49,PENDING,delayed
Jenna Smith,4968480968,90188.08,41191.25,PENDING,delayed
Amanda Rice,1127126355,126685.25,80279.1,PENDING,cooperative
Rodney Holloway,8029359822,129758.07,39948.16,PENDING,resistant
Timothy Lewis,4750472474,157080.35,53866.0,PENDING,delayed
Robert Cordova,2009955147,276659.13,163304.03,PENDING,cooperative
Tyler Martin Jr.,4230236686,61297.28,29674.34,PENDING,cooperative
Cameron Anderson,5743306548,17948.44,11693.77,PENDING,delayed
Tammy Oliver,4204761488,84144.07,54106.86,PENDING,delayed
Ariel Morris,1734095135,168410.96,91187.48,PENDING,delayed
Alexander Little,3962448314,278825.16,94416.18,PENDING,cooperative
Mrs. Melissa Cooley,9278013499,44421.44,27292.67,PENDING,delayed
Samantha Hale,8951130740,206997.45,112341.25,PENDING,resistant
Zachary Herrera,1569889021,42051.72,17045.06,PENDING,delayed
David Rice,7881673382,256867.57,77748.97,PENDING,cooperative
Mary Bruce,4498059650,32736.02,11998.53,PENDING,cooperative
Joshua Schultz DVM,7362500301,271166.69,175933.64,PENDING,delayed
Emily Chavez,4118644623,88613.48,58318.44,PENDING,delayed
Nancy Pierce,8183665461,298614.9,104921.57,PENDING,resistant
James Jackson,4850064207,143237.44,61661.82,PENDING,cooperative
Jasmine King,2316698857,257753.43,135452.55,PENDING,cooperative
Regina Boyd,0578816593,222877.99,88872.05,PENDING,cooperative
Vanessa Edwards,2930222085,280613.73,130304.14,PENDING,cooperative
Tammy Parks,9377917390,180281.85,96757.94,PENDING,resistant
Stephen Shannon,4220075375,243905.9,148413.96,PENDING,delayed
Michelle Williams,9806482455,24937.79,10653.1,PENDING,cooperative
Audrey Schmitt,8304264999,64839.54,21954.97,PENDING,cooperative
Brandon Ward,2244511040,294763.58,90903.82,PENDING,delayed
Matthew Chambers,9649287816,286133.09,99345.2,PENDING,delayed
Janet Mcgee,1467005706,55495.54,33307.81,PENDING,delayed
Jasmine Meyer,1417159766,166825.64,94611.53,PENDING,delayed
Geoffrey Davis,7893679948,227204.09,115924.08,PENDING,delayed
Travis Barnes,1932463558,168388.54,106628.68,PENDING,cooperative
Julia Thomas,0340141687,261424.38,159314.23,PENDING,resistant
Don Noble,2376914318,137847.55,89987.99,PENDING,high_risk
David Delgado,7662334389,203320.96,82763.66,PENDING,high_risk
Robert Anderson,3227474223,119655.94,68125.22,PENDING,delayed
Joseph Cantu,7795984104,125430.14,41004.48,PENDING,resistant
Kathleen Hodge,5625777109,32309.74,18451.54,PENDING,delayed
Douglas Barrett,9775679863,158803.3,104480.95,PENDING,delayed
Andrew Smith,4053358835,214980.92,135310.94,PENDING,cooperative
Jasmine Nunez,9293513345,119097.05,37353.21,PENDING,resistant
Christina Brown,1298354565,272885.92,126616.12,PENDING,delayed
Nancy Sanchez,8422955426,142402.96,55807.04,PENDING,delayed
Tina Parker,7136481310,18384.77,7502.04,PENDING,resistant
Michael Simon,7966280670,148463.79,95414.13,PENDING,cooperative
Karen Mclean,2610929373,206446.79,138657.98,PENDING,delayed
Rachel Jensen,2074027702,272407.17,135633.82,PENDING,delayed
Mr. Cameron Kelley,0517475471,291022.76,174306.93,PENDING,resistant
Thomas Perez,0286402252,135591.13,77323.31,PENDING,cooperative
Betty Anderson,8843420782,173168.68,58026.26,PENDING,cooperative
Richard Logan,0499571850,281120.54,163304.27,PENDING,cooperative
Patrick Flores,3843010640,150076.4,93500.91,PENDING,cooperative
Regina Patel,5634354929,135520.91,77004.33,PENDING,high_risk
John Welch,1037647048,120034.2,68454.51,PENDING,cooperative
George Reid,3881107105,201666.86,101235.09,PENDING,resistant
Carolyn Martinez,1294746777,84921.04,54571.43,PENDING,delayed
Shannon Gordon,0857856195,279575.3,99862.47,PENDING,resistant
Justin Roberts,9228234503,205487.94,104576.79,PENDING,resistant
John Adams,6725552411,209621.96,136556.61,PENDING,resistant
Deanna Sanchez,8909899238,133947.56,71197.3,PENDING,cooperative
Brandon Rowe,9851155922,208287.39,121119.62,PENDING,cooperative
Mike Hoffman,7103871109,239615.06,122520.22,PENDING,cooperative
Jason Marks,7151829539,41731.54,15625.29,PENDING,cooperative
Morgan Pugh,7915824108,243366.14,140281.43,PENDING,cooperative
Brandon Schultz,8346462647,275674.42,115676.1,PENDING,delayed
Stephanie Hughes,9983785123,219043.03,96377.02,PENDING,cooperative
Carol Bryant,1293965170,222734.15,155234.35,PENDING,resistant
Jordan Lewis,0957066569,28087.27,17096.08,PENDING,cooperative
Amanda Walters,8411732713,275113.78,176981.93,PENDING,cooperative
Timothy Lopez,1855551824,105271.82,40647.5,PENDING,delayed
Christine Sanchez,7710267124,191967.56,116328.54,PENDING,cooperative
Dr. Eric Rodriguez,9861128711,115465.59,78434.78,PENDING,resistant
Richard Dyer,6769349964,140254.39,97051.23,PENDING,high_risk
Brian French,8033404003,294294.16,105826.25,PENDING,delayed
Dr. Cynthia Arnold,7486562615,97593.19,37898.47,PENDING,cooperative
Sarah Gross,6183755754,25002.87,13419.96,PENDING,delayed
Betty Johnson,6428794967,125861.71,86197.78,PENDING,delayed
Antonio Ayala,3208537074,282542.24,177398.87,PENDING,cooperative
William Young,3650510611,142345.7,53443.67,PENDING,resistant
Lauren Hall,7115860834,140913.98,85312.2,PENDING,cooperative
Caitlin Carney,1130686002,187886.5,103578.64,PENDING,high_risk
Christopher King,7037785030,96506.09,34531.89,PENDING,cooperative
Brooke Wilson,8029915412,192839.14,97258.92,PENDING,cooperative
Faith Clark,4703321545,164989.79,61551.45,PENDING,high_risk
Daniel Lee,0924061359,145032.13,55251.8,PENDING,delayed
Patrick Bond,4843734439,42291.78,20534.25,PENDING,delayed
Tamara Allen,9383634085,56306.81,36808.51,PENDING,cooperative
Joshua Hayes,1981508365,263844.42,118582.23,PENDING,cooperative
Jason Carpenter,8996083731,142896.87,75692.99,PENDING,delayed
Meghan Williams,6119627995,212162.58,103369.59,PENDING,resistant
Louis Yang,4857009666,202498.85,139820.5,PENDING,cooperative
Brian Pacheco,0177215303,32772.1,22128.52,PENDING,resistant
Ryan Martin,8211794871,280258.06,138983.45,PENDING,delayed
April Turner,9201525703,18058.79,9035.56,PENDING,cooperative
Mrs. Emily Conway,7346591996,63737.8,32956.91,PENDING,delayed
Michael Lucas,8764259389,11634.44,4274.59,PENDING,cooperative
William Carter,4882768791,184158.79,65076.13,PENDING,delayed
Daniel Richard,1910059888,37523.44,16022.58,PENDING,cooperative
Brittany Gilbert,0393362017,281907.82,145440.81,PENDING,cooperative
Thomas Gallagher,4290362760,116755.56,62240.24,PENDING,delayed
Tiffany Martinez,3264727598,8560.86,5765.92,PENDING,delayed
Whitney Miller,4019504850,8665.6,5489.61,PENDING,delayed
Darren Richard,7027934032,277543.29,180090.41,PENDING,cooperative
Scott Colon,8775768353,131629.45,47263.08,PENDING,high_risk
Miss Michelle Lynn,6283774678,93868.55,59303.3,PENDING,delayed
Erin Smith,0116650079,118482.32,60476.65,PENDING,delayed
David Williams MD,0768300496,43699.13,13175.24,PENDING,resistant
Nicholas Nguyen,6673416382,84205.73,30151.37,PENDING,cooperative
Adrian Daniels,7388905823,115862.75,55571.13,PENDING,resistant
Virginia Hawkins,2888672696,68957.13,28747.66,PENDING,delayed
Christopher Mack,3940878622,88829.94,28368.55,PENDING,high_risk
Michael Rodriguez,5332620065,5541.4,2502.83,PENDING,resistant
Wendy Blanchard,1840252745,288113.52,131529.39,PENDING,cooperative
Daniel Donaldson,7282102455,29471.64,15479.99,PENDING,cooperative
Christopher Wood,5809917099,201940.98,103091.85,PENDING,cooperative
Devin Singleton,4344192581,244142.07,123028.25,PENDING,delayed
Sarah Lopez,9365233521,87577.74,51739.72,PENDING,high_risk
Keith Gonzales III,5248058824,159278.53,49042.69,PENDING,cooperative
Tony Vang,6757630730,232889.66,98661.12,PENDING,cooperative
Jennifer Lee,1132962189,244419.16,105468.92,PENDING,delayed
Brett Middleton,5597010573,195580.38,72639.3,PENDING,resistant
Joshua Fowler,5927667560,114311.18,39863.61,PENDING,resistant
Robert Thomas,5480347017,152433.43,77323.22,PENDING,resistant
Sara Oliver,5821147563,16250.13,8258.56,PENDING,delayed
Benjamin Gonzalez,6823028568,265305.94,143139.14,PENDING,resistant
Michael Thornton,0570476028,253992.05,132426.22,PENDING,cooperative
Brittany Kennedy,8036585001,197586.89,74552.24,PENDING,delayed
Thomas Dennis,6092379750,196058.22,89161.13,PENDING,delayed
Kenneth Phillips,6065102917,12984.63,5847.17,PENDING,cooperative
Briana Hart,4934211801,240751.04,106462.9,PENDING,delayed
Rhonda Kirk,2954560686,160583.58,111748.33,PENDING,resistant
Jay Walker,3438865181,65664.55,23078.55,PENDING,cooperative
Amber Reilly,6706084617,247869.21,157544.05,PENDING,resistant
Amber Haynes,9480290654,80287.99,52325.0,PENDING,resistant
Edwin Davis,8431868365,85098.34,45835.73,PENDING,cooperative
Brad Kennedy,0451732900,178831.5,108927.22,PENDING,delayed
Cheryl Allen,3378003467,101171.78,51189.87,PENDING,delayed
Loretta Chang,2742933308,36191.48,16406.19,PENDING,delayed
Adrian Rodriguez,0389050241,200191.28,87482.91,PENDING,cooperative
Brett Torres,3131064610,61457.85,21047.15,PENDING,delayed
Linda Smith,5748834587,282568.73,140338.96,PENDING,cooperative
Amanda Parrish,7207601537,18467.75,10334.96,PENDING,delayed
Matthew Shaffer,5264294876,87488.32,26611.37,PENDING,cooperative
Karen Simmons,5888738622,9187.2,3979.4,PENDING,cooperative
Betty Arroyo,8926868963,39635.21,20746.51,PENDING,resistant
Katherine Clark,2583685701,223865.78,122118.5,PENDING,high_risk
Jennifer Weeks,3862922260,48170.9,18101.15,PENDING,cooperative
David Jimenez,5898275343,131114.72,75104.5,PENDING,high_risk
Stephanie Li,6639580456,114707.13,54805.29,PENDING,high_risk
Valerie Dougherty,0178348557,177875.93,115805.2,PENDING,cooperative
Ryan Thompson,9707263167,120647.63,51075.21,PENDING,cooperative
Whitney Mcneil,5340740214,223322.57,133980.91,PENDING,cooperative
Joshua Wilkins,0032948865,68009.81,22951.28,PENDING,resistant
Mary Hicks,1367365965,53053.66,19429.19,PENDING,cooperative
Melissa Sanders,1539724830,75284.07,29784.15,PENDING,cooperative
Erika Little,3123254676,190966.06,98577.12,PENDING,cooperative
Kevin Gomez,7724063769,179791.99,66804.94,PENDING,cooperative
Kevin Saunders,2989472195,171236.48,112433.8,PENDING,high_risk
Gary Weaver,3924435674,81911.97,48294.24,PENDING,delayed
Audrey Smith,7833472800,242875.98,156067.33,PENDING,delayed
Amy Clarke,4778685109,141745.27,66176.68,PENDING,delayed
Teresa Green,1344729347,138832.34,41985.98,PENDING,high_risk
Albert Roy,1821470280,223694.71,140332.9,PENDING,high_risk
Louis Lee,6141236321,182746.37,78420.33,PENDING,high_risk
Madeline Douglas,3455264383,64280.42,39996.43,PENDING,delayed
Ryan Rogers,9076293180,130050.79,74377.81,PENDING,cooperative
Paul Griffin,3737768412,284559.74,196145.4,PENDING,resistant
Michael Brown,7497752589,233410.41,138728.17,PENDING,cooperative
Elizabeth Grimes,5213012948,66437.87,35692.72,PENDING,cooperative
Sarah Ponce,6480279633,299046.56,115716.05,PENDING,cooperative
Lauren Odonnell,2446801882,120165.65,66176.78,PENDING,delayed
Carl Davenport,9249948186,111646.61,58977.31,PENDING,delayed
Christine Jones,8704418376,119822.18,43317.94,PENDING,high_risk
Garrett Young,2198182101,101954.27,62498.21,PENDING,cooperative
Monique Sharp,6352857341,236268.91,93069.95,PENDING,resistant
Cindy Mitchell,1061532746,294046.82,174234.44,PENDING,high_risk
Rachel Hernandez,9921737917,290125.33,165140.59,PENDING,delayed
Bryan Blake,2902660687,238589.53,94586.17,PENDING,cooperative
Justin Fisher,6840890054,242400.9,136105.77,PENDING,delayed
Robert Harrison,8985386460,5647.19,2191.37,PENDING,delayed
Susan Vazquez,0638569040,103900.96,62873.77,PENDING,high_risk
Robert Rubio,1201437817,289103.45,161948.65,PENDING,cooperative
Scott Turner,8429198325,145867.39,95787.58,PENDING,resistant
Gabriel Cooke,4139696727,292709.02,196582.3,PENDING,resistant
Kevin Gray,0486832280,248159.76,101461.02,PENDING,resistant
Douglas Weber,3171321239,127467.22,83943.17,PENDING,high_risk
Marilyn Smith,5051840555,180922.87,70409.29,PENDING,delayed
Lindsey Meyer,3391171896,270104.04,155269.67,PENDING,cooperative
Scott Ramirez,5136601718,243175.2,153151.75,PENDING,cooperative
Jennifer White,9055863095,109095.17,68468.22,PENDING,cooperative
Patricia Little,5518831789,263169.93,120991.41,PENDING,delayed
Robert Pollard,8812071859,207424.74,67333.66,PENDING,cooperative
Robin Nichols,9866342413,73451.11,37277.99,PENDING,resistant
Paul King,5211587251,152550.36,89042.53,PENDING,cooperative
Kristen Mason,2487328661,268562.79,173925.45,PENDING,cooperative
Bethany Wilson,9488321563,171432.54,52342.52,PENDING,cooperative
Adam Boyle,5026997411,23066.99,14351.27,PENDING,delayed
Michael Spencer,9620467990,173294.06,109556.4,PENDING,high_risk
Amy Vincent,8031621735,205503.55,76950.08,PENDING,cooperative
Matthew Larson,7194587768,268850.32,86139.07,PENDING,resistant
Patrick Taylor,0718126012,105517.22,32329.84,PENDING,cooperative
Timothy Gillespie,6231029089,261545.7,109360.0,PENDING,cooperative
Suzanne Allen,4168961083,175114.41,95250.91,PENDING,cooperative
Melissa Harrison,4398411640,175588.21,68063.97,PENDING,delayed
Megan Odom,4001525760,294218.65,166265.35,PENDING,delayed
Steve Ruiz,5896728901,44998.45,25632.87,PENDING,delayed
Andrew Gross,6355264804,33325.59,19508.27,PENDING,cooperative
Jason Becker,0466915469,89970.49,58284.74,PENDING,delayed
Destiny Montes,7963608139,93900.04,49260.52,PENDING,resistant
Kelli Reid,2085819889,50171.79,22926.78,PENDING,cooperative
Christopher Hernandez,1821317737,282298.07,183080.09,PENDING,cooperative
Elizabeth Hernandez,5548402542,36563.05,24546.31,PENDING,high_risk
Franklin Young,4328731276,216774.94,141343.46,PENDING,cooperative
Ryan Johnson,4837887753,203056.84,129300.23,PENDING,cooperative
Elizabeth Jimenez,4076822283,219825.39,151153.1,PENDING,resistant
Alvin Reynolds,7685629774,33839.98,17490.0,PENDING,delayed
Robert Burns,4446514338,289629.5,172784.63,PENDING,resistant
Kim Fox,5379660399,174865.2,54250.96,PENDING,delayed
William Smith,9934090680,258637.57,134248.12,PENDING,delayed
Steven Brown,0969687191,84198.07,42159.85,PENDING,delayed
Jennifer Medina,6747126927,95011.92,48083.11,PENDING,high_risk
Alyssa Lam,5458346277,216772.44,94047.05,PENDING,delayed
Jonathan Harris,2079181314,169494.26,93626.58,PENDING,cooperative
Kaylee Oliver PhD,8499335640,5013.67,3356.55,PENDING,delayed
Andrew Jones,4165442125,260682.52,84301.06,PENDING,high_risk
William Miles PhD,9691314593,66436.36,37247.46,PENDING,resistant
David Morgan,5501946704,177766.12,102319.74,PENDING,high_risk
Marie Gordon,1116220239,10969.88,3952.15,PENDING,cooperative
Jennifer Bates,3887491819,202272.61,102659.09,PENDING,high_risk
Angelica Martin,2216037586,14486.5,7454.18,PENDING,delayed
Sara Flores,9330171251,296649.77,104950.25,PENDING,cooperative
Karen Wood,0364866960,221908.07,136724.42,PENDING,resistant
Wesley Johnson,5328275297,233817.01,107723.73,PENDING,cooperative
Tiffany Owens,0904846682,22613.97,8557.32,PENDING,cooperative
Jonathan Hebert,6310210105,267911.29,158656.99,PENDING,resistant
Brad Meza,1234469608,245067.91,141927.98,PENDING,delayed
Katie Lewis,5531638509,283863.15,163341.41,PENDING,cooperative
Christine Mccullough,4354368513,181202.36,112025.61,PENDING,cooperative
Lisa Clarke,8066520416,61746.13,29135.15,PENDING,cooperative
Robert Norton,7913992446,84438.16,41201.7,PENDING,delayed
James Lewis,4327492986,16201.62,9328.64,PENDING,resistant
Allen Lee,3445320435,120544.91,49536.02,PENDING,resistant
Nathan Robbins,7330073531,288301.02,134321.89,PENDING,high_risk
Amy Klein,6619233662,21354.09,7629.21,PENDING,cooperative
Scott Collier,3003954493,113942.16,38492.89,PENDING,cooperative
Cody Herrera,5583577390,186954.43,61360.35,PENDING,high_risk
Frederick Wang,5276323991,79220.84,29153.15,PENDING,resistant
Jessica Cook,4875408733,132676.63,77019.67,PENDING,high_risk
Vickie Espinoza,4931356986,107613.57,46415.2,PENDING,resistant
Stephanie Gonzalez,1808860037,140801.49,78587.67,PENDING,cooperative
Bonnie Nichols,3276796033,46864.96,16532.8,PENDING,delayed
Amy Sexton,5502678116,243935.71,148098.71,PENDING,resistant
Joseph Ross,7133806371,111496.24,57069.23,PENDING,cooperative
Vickie Christensen,6459850740,194634.25,71249.04,PENDING,delayed
Ashley Mosley,2260922130,49945.51,31968.59,PENDING,resistant
Chad Patterson,6956120631,14040.48,5685.9,PENDING,delayed
Travis Choi,3248568916,147610.69,48388.67,PENDING,cooperative
Terry Bartlett,2149976602,81347.37,36052.32,PENDING,resistant
Steven Atkins,8097856158,104482.85,39764.34,PENDING,high_risk
Anthony Coleman,1181219304,204481.15,99949.6,PENDING,delayed
John Parker,1865142895,51132.91,31403.83,PENDING,cooperative
Christopher Brown,4181117949,237576.5,136075.82,PENDING,resistant
Bradley Jordan,9929558392,279529.43,175177.62,PENDING,high_risk
Jason Morris,9957474209,103480.99,36947.48,PENDING,high_risk
Christopher Jones,2515057301,171252.03,67770.54,PENDING,resistant
Angela Harvey,4687790749,7019.45,3211.09,PENDING,delayed
Jose Craig,7088577345,86164.18,53248.19,PENDING,cooperative
Michael Delgado,0178566285,141240.34,95152.43,PENDING,cooperative
Brent Beck,6510839288,169598.52,72069.68,PENDING,delayed
Caleb Carrillo,3590596132,38630.35,19483.25,PENDING,resistant
Natalie Pitts,7815829870,253129.4,78446.41,PENDING,delayed
Leslie Abbott,4972997963,53714.11,23377.87,PENDING,resistant
Carmen Tucker,1226655400,153181.37,89959.98,PENDING,delayed
Richard Robinson,3117030114,222407.42,73450.04,PENDING,high_risk
David Harvey,3882375022,63251.21,44130.04,PENDING,cooperative
Kyle Hart,0838837301,254923.31,137675.12,PENDING,delayed
Christina Dunn,0266026149,129503.82,64647.99,PENDING,delayed
Michelle Pennington,3077605820,80121.64,52525.95,PENDING,cooperative
Randy Anderson,4152866434,71646.27,32121.29,PENDING,delayed
Jason Cooper,5215176116,169659.42,102273.91,PENDING,cooperative
Austin Edwards,4529535895,226853.96,92526.86,PENDING,delayed
Christopher Rodriguez,7286804101,255093.81,97971.25,PENDING,delayed
Kathryn Weiss,5992946783,246538.11,156799.32,PENDING,cooperative
Carolyn Tucker,1650876355,199253.44,99744.21,PENDING,resistant
Madison Foster,6523457852,57910.62,31951.59,PENDING,delayed
Carla Jones,7442511528,178707.41,101397.23,PENDING,resistant
Kim Garza,4924615371,181561.92,75318.33,PENDING,cooperative
Denise Thomas MD,7310734879,131359.83,72561.35,PENDING,delayed
Charles Guzman,3673492557,228965.74,113390.81,PENDING,delayed
Cheryl Rodriguez MD,8077523613,137599.64,92604.92,PENDING,delayed
Connie Nelson,6371324108,192022.45,94270.08,PENDING,cooperative
Alex Taylor,3237603840,196435.79,84486.57,PENDING,resistant
Ian Kelly,3301507588,236754.19,98909.81,PENDING,resistant
Yvette Parks,7133196521,218532.53,98029.53,PENDING,delayed
Alex Martinez,4137815109,175383.08,73825.4,PENDING,high_risk
Hunter Grimes,3157379988,14150.79,9377.12,PENDING,cooperative
Elijah Johnson,7166033821,225764.01,92701.05,PENDING,cooperative
Rebecca Baker,0048781514,145221.81,74347.54,PENDING,resistant
Veronica Combs,7415118320,245340.22,114396.7,PENDING,cooperative
Phillip Bennett,4693126902,299302.98,93324.59,PENDING,cooperative
Jamie Ross,3146622149,89599.67,57403.87,PENDING,delayed
Michael Rocha,5659664010,27033.94,15826.97,PENDING,resistant
Timothy James,9610994790,59148.07,22179.2,PENDING,resistant
Miss Laura Hoover,2684586138,252515.16,114276.59,PENDING,delayed
Rachel Mayer,5997937021,30804.46,9796.64,PENDING,high_risk
Kathy Wood,0337800883,46823.54,28545.01,PENDING,high_risk
James Davis,3412083853,82388.5,29413.72,PENDING,cooperative
Michael Price,2630963791,214359.64,83206.76,PENDING,cooperative
Rebekah Turner,5889087791,229459.87,99308.94,PENDING,delayed
Lacey Silva,0015088613,131697.33,61107.82,PENDING,cooperative
Jacqueline Garcia,9815265317,229661.02,147440.91,PENDING,delayed
Kimberly Flores,7817378144,80987.28,36347.87,PENDING,resistant
Mr. David Perez DDS,8854425119,148581.21,99138.09,PENDING,high_risk
Willie Gray,0786806299,166919.09,52248.15,PENDING,cooperative
Cheryl Newman,1085645378,227994.78,107270.81,PENDING,delayed
Kenneth Wilson,5423988724,70499.22,23343.54,PENDING,delayed
Andrea Prince,1036340693,85898.21,35322.31,PENDING,delayed
Debbie Nelson,3996718621,245919.4,132193.34,PENDING,delayed
Zachary Miranda,8518808117,91639.89,40862.62,PENDING,cooperative
William Bond,9365090350,167961.51,81984.29,PENDING,resistant
Gary Larsen,5838420481,243394.49,82262.49,PENDING,cooperative
Megan Garza,1524522899,246199.32,142312.64,PENDING,high_risk
Theresa Mccall,3588709533,15246.66,10321.96,PENDING,cooperative
Mary Hoffman,5450728285,179744.24,78461.19,PENDING,cooperative
Erin Esparza,9700484426,208388.03,135078.1,PENDING,cooperative
Derrick Crosby,2490062145,125452.48,81655.77,PENDING,resistant
Tammy Mitchell,0311879683,276043.39,159210.54,PENDING,cooperative
Chris Little,3824613927,143932.39,91628.22,PENDING,delayed
Monique Burke,8082523043,77994.04,44387.76,PENDING,resistant
Jason Davis,6582746901,289735.81,139912.65,PENDING,cooperative
Lindsey Rivera,1882567886,223703.14,68329.0,PENDING,resistant
Emily Cruz,6493602041,275069.22,181311.08,PENDING,cooperative
Mark Allen,7565950052,86580.08,45735.83,PENDING,resistant
David Cain,1126692001,88547.51,35568.79,PENDING,resistant
Jason Nelson,3752799493,148599.28,62697.89,PENDING,high_risk
Sydney Morgan,8612604890,184826.12,75474.44,PENDING,cooperative
Jennifer Harper,1894695479,231260.57,96559.88,PENDING,cooperative
Joseph Reyes,7659682637,51021.12,17886.9,PENDING,high_risk
Caitlin Bautista,0582832522,146243.51,98313.07,PENDING,high_risk
Kenneth Lee,1779055423,63426.95,27684.18,PENDING,delayed
Christina Smith,3794537187,189741.1,122146.24,PENDING,cooperative
